"","PC1","PC2","PC3","PC4","species","group"
"578",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"B.atratus","bom"
"579",2.92444490359262,-1.31135525755261,-1.24097871431069,0.531482645503067,"B.atratus","bom"
"580",2.8647583224188,-1.31354579608491,-1.28385062648202,0.504016740980247,"B.atratus","bom"
"581",2.74233231641464,-1.37949934336683,-1.3918857145538,0.444862511413264,"B.atratus","bom"
"582",2.68092876985072,-1.4048122736331,-1.41203657708528,0.398886632226403,"B.atratus","bom"
"583",2.54904364443135,-1.41508878635426,-1.0675144526325,-0.0539534994754663,"B.atratus","bom"
"584",1.89374293219695,-2.44568857137583,-0.943181932383575,-1.0364024683066,"B.atratus","bom"
"585",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"B.fervidus","bom"
"586",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"B.fervidus","bom"
"587",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"B.fervidus","bom"
"588",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"B.fervidus","bom"
"589",1.64822756136077,-0.423425034931177,0.50606747014268,-0.444976381707065,"B.fervidus","bom"
"590",2.08708358558752,-0.554329875713636,0.611714479682808,-0.560302285527517,"B.fervidus","bom"
"591",2.71016264717784,-0.925714963025291,0.24922151731872,-0.83783570256539,"B.fervidus","bom"
"592",2.92444490359262,-1.31135525755261,-1.24097871431069,0.531482645503067,"B.fervidus","bom"
"593",2.8647583224188,-1.31354579608491,-1.28385062648202,0.504016740980247,"B.fervidus","bom"
"594",2.74233231641464,-1.37949934336683,-1.3918857145538,0.444862511413264,"B.fervidus","bom"
"595",2.68092876985072,-1.4048122736331,-1.41203657708528,0.398886632226403,"B.fervidus","bom"
"596",2.54904364443135,-1.41508878635426,-1.0675144526325,-0.0539534994754663,"B.fervidus","bom"
"597",3.02572137867076,-0.398407335942589,-0.725232048270123,0.315176472061495,"B.fervidus","bom"
"598",-0.170006192219851,-0.0239036930920201,0.029877641101603,-0.00774598302168497,"B.muscorum","bom"
"599",-0.151240844216207,-0.0450397374947596,0.0794537766263758,-0.0266711621162607,"B.muscorum","bom"
"600",0.0801006932211092,-0.0377842905502526,0.123921382198745,-0.0693146002067585,"B.muscorum","bom"
"601",0.509678617391899,0.0111399093284344,0.159313956284224,-0.11430604408932,"B.muscorum","bom"
